"d","C0","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","H0","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","exp0","exp1","exp2","exp3","exp4","exp5","exp6","exp7","exp8","exp9","exp10","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","B0","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10"
"1","0","1","0","0","0","0","1","0","0","0","0","0.0","0.023949694355662684","0.025268337742676665","0.06272721484650176","0.08148341233103859","0.10798165432623835","0.1854226470732117","-0.7243051448841308","-1.6679035951064458","-2.482672236532942","-3.2541521969150975","0.5","0.5","0.75","-0.125","-0.5625","-0.5625","-0.5625","0.21875","0.21875","0.21875","0.21875","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.95","0.9025","0.8573749999999999","0.8145062499999999","0","1","1","1","0","0","1","0","0","0","0"
"2","0","0","0","0","0","0","0","0","0","0","0","0.0","0.1759443675992236","0.2191625590481934","0.394651868312204","0.40767744153301594","0.4072222337645354","0.5691611774375388","0.7077433289678433","0.7100428061265751","0.902283778760981","0.9014719058312449","0.5","0.5","-0.25","-0.25","-0.625","-0.625","-0.8125","-0.8125","-0.90625","-0.90625","-0.90625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","1","0","1","0","1","0","1","0","0","1"
"3","0","0","1","0","1","1","0","0","1","1","0","0.0","0.3295354095661201","0.31901215536004524","0.5327227009976496","0.5887273356685997","0.5563008326974426","0.20951931364647414","-0.18271378303084018","-0.7705753076620738","-1.7523178863641957","-2.76162282725915","0.5","0.5","-0.25","0.375","0.375","0.6875","0.84375","-0.078125","-0.078125","0.4609375","0.73046875","0.0","0.0","0.0","0.0","0.3333333333333333","0.6666666666666666","0.6333333333333333","0.6016666666666666","1.0","1.0","0.95","0","1","1","0","1","1","1","0","1","1","0"
"1","0","0","0","1","0","0","0","1","0","0","1","0.0","0.03079432980813516","0.06243256198774502","0.1365535713423587","0.2400390645986723","0.29448656133905926","0.37207361660336774","0.4409837068593996","-0.4966985653616247","-1.3632737038309255","-2.16036281039705","0.5","0.5","-0.25","-0.25","0.375","0.375","0.375","0.375","0.6875","0.6875","-0.15625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.95","0.9025","1.0","0","1","0","1","0","0","0","1","0","1","1"
"3","0","0","0","0","0","0","0","0","0","0","0","0.0","2.1314710435452536E-4","0.13295986798076878","0.35126465063485124","0.6650264812086304","0.8183312793403668","0.8955010763083721","1.0288990624698968","1.0366317677194052","1.2946594424119506","1.4541958093311496","0.5","0.5","-0.25","-0.25","-0.625","-0.625","-0.625","-0.8125","-0.8125","-0.8125","-0.90625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","1","0","1","0","0","1","0","0","1","1"
